,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
447,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-22 23:00:00,2018,11,,4
448,,ATMO,,0,FR19002,ZAG RENNES,2018-11-22 23:00:00,2018,11,,4
449,,ATMO,,0,FR04002,ZAG PARIS,2018-10-24 23:00:00,2018,10,,4
450,,ATMO,,0,FR40006,ZR GUYANE,2018-11-20 23:00:00,2018,11,,4
451,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-07 23:00:00,2018,11,,4
452,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-22 23:00:00,2018,11,,4
453,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-22 23:00:00,2018,11,,4
454,,ATMO,,0,FR04002,ZAG PARIS,2018-11-14 23:00:00,2018,11,,4
455,,ATMO,,0,FR40006,ZR GUYANE,2018-11-23 23:00:00,2018,11,,4
456,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-23 23:00:00,2018,11,,4
457,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-24 23:00:00,2018,11,,4
458,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-11-23 23:00:00,2018,11,,4
459,,ATMO,,0,FR40006,ZR GUYANE,2018-11-24 23:00:00,2018,11,,4
460,,ATMO,,0,FR08617,ZAR NIMES,1970-01-01 00:00:00,1970,1,,1
461,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-18 23:00:00,2018,11,,4
462,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-25 23:00:00,2018,11,,4
463,,ATMO,,0,FR09003,ZR NOUVELLE-AQUITAINE,2018-09-17 23:00:00,2018,9,,3
464,,ATMO,,0,FR28010,ZAG BLDV,2018-08-11 23:00:00,2018,8,,3
465,,ATMO,,0,FR02001,ZAG MARSEILLE-AIX,2018-11-24 23:00:00,2018,11,,4
466,,ATMO,,0,FR40006,ZR GUYANE,2018-11-11 23:00:00,2018,11,,4
467,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-21 23:00:00,2018,11,,4
468,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-25 23:00:00,2018,11,,4
469,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-26 23:00:00,2018,11,,4
470,,ATMO,,0,FR82070,ZR BOURGOGNE-FRANCHE-COMTE,2018-06-06 23:00:00,2018,6,,2
471,,ATMO,,0,FR01011,ZAG METZ,2018-11-10 23:00:00,2018,11,,4
